[2026-05-12 01:53:04.370] [ChronoKeeper] [info] [ChronoKeeper] Running ChronoKeeper Server.
[2026-05-12 01:53:04.370] [ChronoKeeper] [info] [ChronoKeeper] Configuration [CHRONO_GRAPHER_CONFIGURATION: RECORDING_GROUP: 1, KEEPER_GRAPHER_DRAIN_SERVICE_CONF: [PROTO_CONF: ofi+sockets, IP: 172.25.101.4, BASE_PORT: 3333, SERVICE_PROVIDER_ID: 33, PORTS: ], DATA_STORE_ADMIN_SERVICE_CONF: [PROTO_CONF: ofi+sockets, IP: 172.25.101.3, BASE_PORT: 7777, SERVICE_PROVIDER_ID: 77, PORTS: ], VISOR_REGISTRY_SERVICE_CONF: [PROTO_CONF: ofi+sockets, IP: 172.25.101.3, BASE_PORT: 8888, SERVICE_PROVIDER_ID: 88, PORTS: ], LOG_CONF: [TYPE: file, FILE: /mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-015243/chronolog/logs/chrono-keeper-ares-comp-03.log, LEVEL: DEBUG, NAME: ChronoKeeper, LOGFILESIZE: 1048576, LOGFILENUM: 3, FLUSH LEVEL: WARN], DATA_STORE_CONF: [DATA_STORE_CONF: max_story_chunk_size: 4096 story_chunk_duration_secs: 10 acceptance_window_secs: 15 inactive_story_delay_secs: 120], EXTRACTOR_CONF: [EXTRACTOR_READER_CONF: STORY_FILES_DIR: /mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-015243/chronolog/output]]
[2026-05-12 01:53:04.370] [ChronoKeeper] [info] [ChronoKeeperInstance] KeeperRecordingService started successfully.
[2026-05-12 01:53:04.370] [ChronoKeeper] [info] [ChronoKeeperInstance] KeeperIdCard: KeeperIdCard{Group{1}ServiceId{ofi+sockets:172.25.101.3:6666:66}}
[2026-05-12 01:53:04.489] [ChronoKeeper] [info] [ChronoKeeperInstance] GroupID=1 starting extraction engine at address ofi+sockets://172.25.101.3:36313
[2026-05-12 01:53:04.526] [ChronoKeeper] [info] [DataStoreAdminService] Constructed at ofi+sockets://172.25.101.3:7777. ProviderID=77
[2026-05-12 01:53:04.526] [ChronoKeeper] [info] [ChronoKeeperInstance] DataStoreAdminService started successfully.
[2026-05-12 01:53:04.539] [ChronoKeeper] [info] [ChronoKeeperInstance] GroupID=1 starting KeeperRecordingService at ofi+sockets://172.25.101.3:6666 with provider_id 66
[2026-05-12 01:53:04.640] [ChronoKeeper] [info] [ChronoKeeperInstance] Successfully registered with ChronoVisor.
[2026-05-12 01:53:04.640] [ChronoKeeper] [info] [KeeperDataStore] Starting data collection. StreamCount=3, ThreadID=0
[2026-05-12 01:53:04.642] [ChronoKeeper] [info] [KeeperDataStore] Data collection started successfully. Stream count=3, ThreadID=0
[2026-05-12 01:53:11.667] [ChronoKeeper] [info] [DataStoreAdminService] Starting Story Recording: StoryName=phase0_range_story_1778568791663, StoryID=4420695604221295382
[2026-05-12 01:53:11.667] [ChronoKeeper] [info] [KeeperDataStore] Start recording story: Chronicle=phase0_range_chronicle_1778568791663, Story=phase0_range_story_1778568791663, StoryID=4420695604221295382
[2026-05-12 01:53:11.667] [ChronoKeeper] [info] [KeeperStoryPipeline] Initialized KeeperStoryPipeline StoryID=4420695604221295382, phase0_range_chronicle_1778568791663-phase0_range_story_1778568791663 timeline 1778568790000000000-1778568820000000000 Start Tue May 12 01:53:10 2026
 End Tue May 12 01:53:10 2026
 ChunkGranularity=10 seconds, AcceptanceWindow=15 seconds
[2026-05-12 01:53:11.667] [ChronoKeeper] [info] [KeeperDataStore] New KeeperStoryPipeline created successfully. StoryID: 4420695604221295382
[2026-05-12 01:53:12.642] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:12.642] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:12.653] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:13.642] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:13.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:13.653] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:14.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:14.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:14.653] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:15.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:15.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:15.653] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:16.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:16.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:16.653] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:17.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:17.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:17.653] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
[2026-05-12 01:53:18.643] [ChronoKeeper] [info] [KeeperStoryPipeline] Collected ingested events for StoryID=4420695604221295382
