20219	4	1024	n4-s1024-chronolog-archive
20220	4	4096	n4-s4096-chronolog-archive
20221	4	16384	n4-s16384-chronolog-archive
20222	4	65536	n4-s65536-chronolog-archive
20223	8	1024	n8-s1024-chronolog-archive
20224	8	4096	n8-s4096-chronolog-archive
20225	8	16384	n8-s16384-chronolog-archive
20226	8	65536	n8-s65536-chronolog-archive
20227	16	1024	n16-s1024-chronolog-archive
20228	16	4096	n16-s4096-chronolog-archive
20229	16	16384	n16-s16384-chronolog-archive
20230	16	65536	n16-s65536-chronolog-archive
