role,metric,value
chrono-grapher,POSIX_BYTES_READ,5217.0
chrono-grapher,POSIX_BYTES_WRITTEN,34290.0
chrono-grapher,POSIX_READS,3.0
chrono-grapher,POSIX_WRITES,8.0
chrono-grapher,STDIO_BYTES_READ,0.0
chrono-grapher,STDIO_BYTES_WRITTEN,6213.0
chrono-grapher,STDIO_READS,0.0
chrono-grapher,STDIO_WRITES,38.0
chrono-keeper,POSIX_BYTES_READ,10446.0
chrono-keeper,POSIX_BYTES_WRITTEN,0.0
chrono-keeper,POSIX_READS,6.0
chrono-keeper,POSIX_WRITES,0.0
chrono-keeper,STDIO_BYTES_READ,0.0
chrono-keeper,STDIO_BYTES_WRITTEN,12045.0
chrono-keeper,STDIO_READS,0.0
chrono-keeper,STDIO_WRITES,74.0
chrono-player,POSIX_BYTES_READ,5217.0
chrono-player,POSIX_BYTES_WRITTEN,0.0
chrono-player,POSIX_READS,3.0
chrono-player,POSIX_WRITES,0.0
chrono-player,STDIO_BYTES_READ,0.0
chrono-player,STDIO_BYTES_WRITTEN,4582.0
chrono-player,STDIO_READS,0.0
chrono-player,STDIO_WRITES,30.0
chrono-visor,POSIX_BYTES_READ,4812.0
chrono-visor,POSIX_BYTES_WRITTEN,0.0
chrono-visor,POSIX_READS,3.0
chrono-visor,POSIX_WRITES,0.0
chrono-visor,STDIO_BYTES_READ,0.0
chrono-visor,STDIO_BYTES_WRITTEN,11371.0
chrono-visor,STDIO_READS,0.0
chrono-visor,STDIO_WRITES,70.0
client,POSIX_BYTES_READ,845.0
client,POSIX_BYTES_WRITTEN,0.0
client,POSIX_READS,4.0
client,POSIX_WRITES,0.0
client,STDIO_BYTES_READ,5772.0
client,STDIO_BYTES_WRITTEN,6661.0
client,STDIO_READS,2.0
client,STDIO_WRITES,148.0
