role,symbol,samples
chrono-bench,__GI___pthread_sigmask,213.0
chrono-bench,syscall@@GLIBC_2.2.5,14.0
chrono-bench,_ULx86_64_get_reg,12.0
chrono-bench,epoll_wait@@GLIBC_2.3.2,12.0
chrono-bench,__GI_mincore,10.0
chrono-bench,__GI___libc_read,5.0
chrono-grapher,__GI___pthread_sigmask,68.0
chrono-grapher,__GI___clock_nanosleep,24.0
chrono-grapher,epoll_wait@@GLIBC_2.3.2,15.0
chrono-grapher,__vfprintf_internal,12.0
chrono-grapher,__GI__IO_default_xsputn,8.0
chrono-grapher,__memset_evex_unaligned_erms,8.0
chrono-keeper,pool_pop_shared,98.0
chrono-keeper,sched_run,56.0
chrono-keeper,__GI___pthread_sigmask,54.0
chrono-keeper,__vfprintf_internal,15.0
chrono-keeper,epoll_wait@@GLIBC_2.3.2,15.0
chrono-keeper,_ULx86_64_get_reg,14.0
chrono-player,__GI___pthread_sigmask,54.0
chrono-player,_ULx86_64_get_reg,8.0
chrono-player,__GI__IO_default_xsputn,7.0
chrono-player,__memset_evex_unaligned_erms,6.0
chrono-player,epoll_wait@@GLIBC_2.3.2,6.0
chrono-player,__strchrnul_evex,4.0
