timestamp,datetime,result_dir,role,region,count,total_us,max_us
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-grapher,grapher_query,4.0,122.0,60.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-grapher,storage_write,5.0,23627.0,23592.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-keeper,keeper_flush,17.0,246.0,114.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-keeper,keeper_ingest,16.0,53801.0,28288.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-visor,metadata_lookup,4.0,3144.0,3021.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-visor,rpc_receive,1.0,3032.0,3032.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,chrono-visor,story_index_update,2.0,40.0,30.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,client,client_append,20.0,8622.0,1773.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,client,metadata_lookup,3.0,4305.999999999999,3374.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,client,rpc_send,27.0,62768.0,47896.0
20260512-110654,2026-05-12T11:06:54,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-110654,client,story_index_update,2.0,1998.0,1723.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-grapher,grapher_query,4.0,110.0,70.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-grapher,storage_write,5.0,19406.0,19361.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_datastore_lock_hold,30.0,211.0,42.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_datastore_lock_wait,30.0,420.0,60.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_flush,16.0,590.0,87.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_ingest,15.0,45443.0,22756.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_ingestion_queue_lock_hold,1.0,30.0,30.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_ingestion_queue_lock_wait,1.0,8.0,8.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_merge_events,1.0,99.0,99.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_orphan_queue_drain,15.0,341.0,246.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_timeline_lock_hold,1.0,134.0,134.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-keeper,keeper_timeline_lock_wait,1.0,16.0,16.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-visor,metadata_lookup,4.0,12340.0,12217.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-visor,rpc_receive,1.0,12226.0,12226.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,chrono-visor,story_index_update,2.0,40.0,30.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,client,client_append,20.0,8960.0,1712.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,client,metadata_lookup,3.0,13334.0,12579.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,client,rpc_send,27.0,65500.00000000001,41702.0
20260512-115145,2026-05-12T11:51:45,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-115145-chronolog-tau-keeper-semantics,client,story_index_update,2.0,1668.0,1435.0
20260512-122315,2026-05-12T12:23:15,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-122315-chronolog-tau-full-semantics,chrono-grapher,grapher_collect_ingested,20.0,21015.0,20768.0
20260512-122315,2026-05-12T12:23:15,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-122315-chronolog-tau-full-semantics,chrono-grapher,grapher_extract_decayed,20.0,453.0,70.0
20260512-122315,2026-05-12T12:23:15,/mnt/common/jcernudagarcia/chronolog-opt/chronolog/.agent/results/20260512-122315-chronolog-tau-full-semantics,chrono-grapher,grapher_orphan_queue_drain,20.0,115.0,54.0
