role,region,count,mean_us,max_us,total_us
chrono-grapher,storage_write,5.0,3881.2,19361.0,19406.0
chrono-grapher,grapher_query,4.0,27.5,70.0,110.0
chrono-keeper,keeper_orphan_queue_drain,8.0,33.375,246.0,267.0
chrono-keeper,keeper_datastore_lock_wait,16.0,17.125,40.0,274.0
chrono-keeper,keeper_datastore_lock_hold,16.0,5.625,11.0,90.0
chrono-keeper,keeper_ingest,8.0,2884.125,22756.0,23073.0
chrono-keeper,keeper_flush,8.0,44.25,87.0,354.0
chrono-keeper,keeper_orphan_queue_drain,7.0,10.57142857142857,56.0,73.99999999999999
chrono-keeper,keeper_datastore_lock_wait,14.0,10.42857142857143,60.0,146.00000000000003
chrono-keeper,keeper_datastore_lock_hold,14.0,8.642857142857142,42.0,121.0
chrono-keeper,keeper_ingest,7.0,3195.714285714286,22093.0,22370.0
chrono-keeper,keeper_flush,8.0,29.5,53.0,236.0
chrono-keeper,keeper_ingestion_queue_lock_wait,1.0,8.0,8.0,8.0
chrono-keeper,keeper_ingestion_queue_lock_hold,1.0,30.0,30.0,30.0
chrono-keeper,keeper_timeline_lock_wait,1.0,16.0,16.0,16.0
chrono-keeper,keeper_merge_events,1.0,99.0,99.0,99.0
chrono-keeper,keeper_timeline_lock_hold,1.0,134.0,134.0,134.0
chrono-visor,rpc_receive,1.0,12226.0,12226.0,12226.0
chrono-visor,metadata_lookup,4.0,3085.0,12217.0,12340.0
chrono-visor,story_index_update,2.0,20.0,30.0,40.0
client,rpc_send,27.0,2425.925925925926,41702.0,65500.00000000001
client,metadata_lookup,3.0,4444.666666666667,12579.0,13334.0
client,client_append,20.0,448.0,1712.0,8960.0
client,story_index_update,2.0,834.0,1435.0,1668.0
