State      Recv-Q Send-Q  Local Address:Port    Peer Address:Port Process                                     
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      1024       172.25.1.1:3479         0.0.0.0:*                                                
LISTEN     0      511         127.0.0.1:20067        0.0.0.0:*                                                
LISTEN     0      511         127.0.0.1:20385        0.0.0.0:*                                                
LISTEN     0      128         127.0.0.1:23037        0.0.0.0:*                                                
LISTEN     0      4096          0.0.0.0:50165        0.0.0.0:*                                                
LISTEN     0      511         127.0.0.1:22382        0.0.0.0:*                                                
LISTEN     0      128         127.0.0.1:26165        0.0.0.0:*                                                
LISTEN     0      511         127.0.0.1:31549        0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
LISTEN     0      1024       172.29.1.1:3478         0.0.0.0:*                                                
